district_code,representative,representative_affiliation,state_affiliation,efficiency_gap,absolute_compactness,state_compactness,country_compactness,compactness_rank,redistricting_control,gerrymander_score,gerrymander_rank
AK-0,Don Young,Republican,1,R0.33439556268718973,0.01898311504793593,0.01898311504793593,0.24673160170753855,1,null,0,429
AL-1,Bradley Byrne,Republican,5,R0.10839245979644553,0.11756316222021028,0.18957909776622928,0.24673160170753855,63,RL,49,72
AL-2,Martha Roby,Republican,5,R0.10839245979644553,0.2304661056109517,0.18957909776622928,0.24673160170753855,218,RL,43,197
AL-3,Mike Rogers,Republican,5,R0.10839245979644553,0.23750936371617828,0.18957909776622928,0.24673160170753855,232,RL,43,197
AL-4,Robert B. Aderholt,Republican,5,R0.10839245979644553,0.1834359406243247,0.18957909776622928,0.24673160170753855,146,RL,46,127
AL-5,Mo Brooks,Republican,5,R0.10839245979644553,0.2814966906495439,0.18957909776622928,0.24673160170753855,291,RL,41,239
AL-6,Gary J. Palmer,Republican,5,R0.10839245979644553,0.14140133184845197,0.18957909776622928,0.24673160170753855,94,RL,48,88
AL-7,Terri A. Sewell,Democrat,5,R0.10839245979644553,0.13518108969394405,0.18957909776622928,0.24673160170753855,83,RL,48,88
AR-1,Eric A. "Rick" Crawford,Republican,4,R0.09037443705965618,0.13377906888019864,0.20310560925399251,0.24673160170753855,81,DL,48,88
AR-2,J. French Hill,Republican,4,R0.09037443705965618,0.25166943018966437,0.20310560925399251,0.24673160170753855,252,DL,42,221
AR-3,Steve Womack,Republican,4,R0.09037443705965618,0.1412751223794888,0.20310560925399251,0.24673160170753855,93,DL,48,88
AR-4,Bruce Westerman,Republican,4,R0.09037443705965618,0.2856988155666182,0.20310560925399251,0.24673160170753855,300,DL,41,239
AZ-1,Tom O’Halleran,Democrat,1,R0.04294484931917975,0.2095022201347491,0.3037717865327592,0.24673160170753855,184,II,42,221
AZ-2,Martha McSally,Republican,1,R0.04294484931917975,0.49446748886577085,0.3037717865327592,0.24673160170753855,417,II,27,423
AZ-3,Raúl M. Grijalva,Democrat,1,R0.04294484931917975,0.26355889419657424,0.3037717865327592,0.24673160170753855,265,II,39,298
AZ-4,Paul A. Gosar,Republican,1,R0.04294484931917975,0.1262247056404717,0.3037717865327592,0.24673160170753855,70,II,46,127
AZ-5,Andy Biggs,Republican,1,R0.04294484931917975,0.5241958362478376,0.3037717865327592,0.24673160170753855,424,II,26,427
AZ-6,David Schweikert,Republican,1,R0.04294484931917975,0.32455543505075435,0.3037717865327592,0.24673160170753855,329,II,36,358
AZ-7,Ruben Gallego,Democrat,1,R0.04294484931917975,0.4263688376143993,0.3037717865327592,0.24673160170753855,397,II,31,410
AZ-8,Trent Franks,Republican,1,R0.04294484931917975,0.2055158735604427,0.3037717865327592,0.24673160170753855,176,II,42,221
AZ-9,Kyrsten Sinema,Democrat,1,R0.04294484931917975,0.15955678748383292,0.3037717865327592,0.24673160170753855,114,II,44,175
CA-1,Doug LaMalfa,Republican,-25,R0.012363137786800038,0.29799627932288536,0.23491619156174948,0.24673160170753855,312,II,36,358
CA-2,Jared Huffman,Democrat,-25,R0.012363137786800038,0.1703336394810261,0.23491619156174948,0.24673160170753855,131,II,42,221
CA-3,John Garamendi,Democrat,-25,R0.012363137786800038,0.15873722259709297,0.23491619156174948,0.24673160170753855,113,II,43,197
CA-4,Tom McClintock,Republican,-25,R0.012363137786800038,0.2992452831014365,0.23491619156174948,0.24673160170753855,313,II,36,358
CA-5,Mike Thompson,Democrat,-25,R0.012363137786800038,0.16564266985858747,0.23491619156174948,0.24673160170753855,124,II,43,197
CA-6,Doris O. Matsui,Democrat,-25,R0.012363137786800038,0.209091425319767,0.23491619156174948,0.24673160170753855,183,II,41,239
CA-7,Ami Bera,Democrat,-25,R0.012363137786800038,0.4644648882706795,0.23491619156174948,0.24673160170753855,409,II,28,420
CA-8,Paul Cook,Republican,-25,R0.012363137786800038,0.2856002278701664,0.23491619156174948,0.24673160170753855,299,II,37,351
CA-9,Jerry McNerney,Democrat,-25,R0.012363137786800038,0.3559528234568175,0.23491619156174948,0.24673160170753855,356,II,33,393
CA-10,Jeff Denham,Republican,-25,R0.012363137786800038,0.3363666272232501,0.23491619156174948,0.24673160170753855,341,II,34,379
CA-11,Mark DeSaulnier,Democrat,-25,R0.012363137786800038,0.23927421855445272,0.23491619156174948,0.24673160170753855,236,II,39,298
CA-12,Nancy Pelosi,Democrat,-25,R0.012363137786800038,0.2650676480454392,0.23491619156174948,0.24673160170753855,266,II,38,329
CA-13,Barbara Lee,Democrat,-25,R0.012363137786800038,0.2655106592092136,0.23491619156174948,0.24673160170753855,267,II,38,329
CA-14,Jackie Speier,Democrat,-25,R0.012363137786800038,0.22124886254240692,0.23491619156174948,0.24673160170753855,198,II,40,268
CA-15,Eric Swalwell,Democrat,-25,R0.012363137786800038,0.31487144587187477,0.23491619156174948,0.24673160170753855,321,II,35,370
CA-16,Jim Costa,Democrat,-25,R0.012363137786800038,0.26833620079693415,0.23491619156174948,0.24673160170753855,270,II,38,329
CA-17,Ro Khanna,Democrat,-25,R0.012363137786800038,0.2661222045296045,0.23491619156174948,0.24673160170753855,268,II,38,329
CA-18,Anna G. Eshoo,Democrat,-25,R0.012363137786800038,0.2402421233607621,0.23491619156174948,0.24673160170753855,239,II,39,298
CA-19,Zoe Lofgren,Democrat,-25,R0.012363137786800038,0.2300315795473806,0.23491619156174948,0.24673160170753855,217,II,39,298
CA-20,Jimmy Panetta,Democrat,-25,R0.012363137786800038,0.3420999432894269,0.23491619156174948,0.24673160170753855,347,II,34,379
CA-21,David G. Valadao,Republican,-25,R0.012363137786800038,0.1963266167061202,0.23491619156174948,0.24673160170753855,164,II,41,239
CA-22,Devin Nunes,Republican,-25,R0.012363137786800038,0.17863590767661,0.23491619156174948,0.24673160170753855,141,II,42,221
CA-23,Kevin McCarthy,Republican,-25,R0.012363137786800038,0.1998589219414672,0.23491619156174948,0.24673160170753855,169,II,41,239
CA-24,Salud O. Carbajal,Democrat,-25,R0.012363137786800038,0.19725374475001778,0.23491619156174948,0.24673160170753855,168,II,41,239
CA-25,Stephen Knight,Republican,-25,R0.012363137786800038,0.22812541082781942,0.23491619156174948,0.24673160170753855,211,II,40,268
CA-26,Julia Brownley,Democrat,-25,R0.012363137786800038,0.22827011119177862,0.23491619156174948,0.24673160170753855,212,II,40,268
CA-27,Judy Chu,Democrat,-25,R0.012363137786800038,0.23790161301747914,0.23491619156174948,0.24673160170753855,233,II,39,298
CA-28,Adam B. Schiff,Democrat,-25,R0.012363137786800038,0.18627556354003846,0.23491619156174948,0.24673160170753855,150,II,42,221
CA-29,Tony Cárdenas,Democrat,-25,R0.012363137786800038,0.2228157553894615,0.23491619156174948,0.24673160170753855,203,II,40,268
CA-30,Brad Sherman,Democrat,-25,R0.012363137786800038,0.21050796946811884,0.23491619156174948,0.24673160170753855,185,II,40,268
CA-31,Pete Aguilar,Democrat,-25,R0.012363137786800038,0.09164945251899868,0.23491619156174948,0.24673160170753855,39,II,46,127
CA-32,Grace F. Napolitano,Democrat,-25,R0.012363137786800038,0.13604404872986564,0.23491619156174948,0.24673160170753855,84,II,44,175
CA-33,Ted Lieu,Democrat,-25,R0.012363137786800038,0.1323712482211895,0.23491619156174948,0.24673160170753855,77,II,44,175
CA-34,Jimmy Gomez,Democrat,-25,R0.012363137786800038,0.29675601097289245,0.23491619156174948,0.24673160170753855,311,II,36,358
CA-35,Norma J. Torres,Democrat,-25,R0.012363137786800038,0.2274344411316344,0.23491619156174948,0.24673160170753855,210,II,40,268
CA-36,Raul Ruiz,Democrat,-25,R0.012363137786800038,0.37891853546976634,0.23491619156174948,0.24673160170753855,373,II,32,403
CA-37,Karen Bass,Democrat,-25,R0.012363137786800038,0.354036589465472,0.23491619156174948,0.24673160170753855,354,II,33,393
CA-38,Linda T. Sánchez,Democrat,-25,R0.012363137786800038,0.20313500783551602,0.23491619156174948,0.24673160170753855,173,II,41,239
CA-39,Edward R. Royce,Republican,-25,R0.012363137786800038,0.2207099324011364,0.23491619156174948,0.24673160170753855,196,II,40,268
CA-40,Lucille Roybal-Allard,Democrat,-25,R0.012363137786800038,0.23318822739267805,0.23491619156174948,0.24673160170753855,224,II,39,298
CA-41,Mark Takano,Democrat,-25,R0.012363137786800038,0.19392797564372966,0.23491619156174948,0.24673160170753855,160,II,41,239
CA-42,Ken Calvert,Republican,-25,R0.012363137786800038,0.11617115302619815,0.23491619156174948,0.24673160170753855,61,II,45,157
CA-43,Maxine Waters,Democrat,-25,R0.012363137786800038,0.31023848031531864,0.23491619156174948,0.24673160170753855,315,II,35,370
CA-44,Nanette Diaz Barragán,Democrat,-25,R0.012363137786800038,0.24320567385803854,0.23491619156174948,0.24673160170753855,242,II,39,298
CA-45,Mimi Walters,Republican,-25,R0.012363137786800038,0.33702559183493713,0.23491619156174948,0.24673160170753855,342,II,34,379
CA-46,J. Luis Correa,Democrat,-25,R0.012363137786800038,0.28539196801934136,0.23491619156174948,0.24673160170753855,298,II,37,351
CA-47,Alan S. Lowenthal,Democrat,-25,R0.012363137786800038,0.09045692135496118,0.23491619156174948,0.24673160170753855,38,II,46,127
CA-48,Dana Rohrabacher,Republican,-25,R0.012363137786800038,0.19380564835549577,0.23491619156174948,0.24673160170753855,159,II,41,239
CA-49,Darrell E. Issa,Republican,-25,R0.012363137786800038,0.15840698322609367,0.23491619156174948,0.24673160170753855,110,II,43,197
CA-50,Duncan Hunter,Republican,-25,R0.012363137786800038,0.23504438325439048,0.23491619156174948,0.24673160170753855,228,II,39,298
CA-51,Juan Vargas,Democrat,-25,R0.012363137786800038,0.2573878294425262,0.23491619156174948,0.24673160170753855,258,II,38,329
CA-52,Scott H. Peters,Democrat,-25,R0.012363137786800038,0.10467708836122258,0.23491619156174948,0.24673160170753855,55,II,46,127
CA-53,Susan A. Davis,Democrat,-25,R0.012363137786800038,0.16836737518319816,0.23491619156174948,0.24673160170753855,128,II,43,197
CO-1,Diana DeGette,Democrat,1,R0.045092302996894304,0.10267251205858419,0.25074039838476764,0.24673160170753855,51,IL,47,107
CO-2,Jared Polis,Democrat,1,R0.045092302996894304,0.23549035314212596,0.25074039838476764,0.24673160170753855,230,IL,40,268
CO-3,Scott R. Tipton,Republican,1,R0.045092302996894304,0.3595484081806056,0.25074039838476764,0.24673160170753855,357,IL,34,379
CO-4,Ken Buck,Republican,1,R0.045092302996894304,0.3733716065676796,0.25074039838476764,0.24673160170753855,369,IL,33,393
CO-5,Doug Lamborn,Republican,1,R0.045092302996894304,0.40890008003769773,0.25074039838476764,0.24673160170753855,391,IL,32,403
CO-6,Mike Coffman,Republican,1,R0.045092302996894304,0.12175718888737043,0.25074039838476764,0.24673160170753855,66,IL,46,127
CO-7,Ed Perlmutter,Democrat,1,R0.045092302996894304,0.15344263981931006,0.25074039838476764,0.24673160170753855,106,IL,44,175
CT-1,John B. Larson,Democrat,-5,D0.25684264907181603,0.17835510058002543,0.26514567397949007,0.24673160170753855,140,IB,54,15
CT-2,Joe Courtney,Democrat,-5,D0.25684264907181603,0.42738700477449854,0.26514567397949007,0.24673160170753855,398,IB,42,221
CT-3,Rosa L. DeLauro,Democrat,-5,D0.25684264907181603,0.2326374104107509,0.26514567397949007,0.24673160170753855,221,IB,51,43
CT-4,James A. Himes,Democrat,-5,D0.25684264907181603,0.2585569070630971,0.26514567397949007,0.24673160170753855,260,IB,50,53
CT-5,Elizabeth H. Esty,Democrat,-5,D0.25684264907181603,0.2287919470690785,0.26514567397949007,0.24673160170753855,214,IB,52,30
DE-0,Lisa Blunt Rochester,Democrat,-1,D0.34907787263924306,0.34472952190448913,0.34472952190448913,0.24673160170753855,349,null,0,429
FL-1,Matt Gaetz,Republican,5,R0.043320663219661694,0.38941682383352805,0.3044870514877598,0.24673160170753855,379,RL,33,393
FL-2,Neal P. Dunn,Republican,5,R0.043320663219661694,0.1190909435048267,0.3044870514877598,0.24673160170753855,64,RL,46,127
FL-3,Ted S. Yoho,Republican,5,R0.043320663219661694,0.5397157147147101,0.3044870514877598,0.24673160170753855,426,RL,25,428
FL-4,John H. Rutherford,Republican,5,R0.043320663219661694,0.16905845596345187,0.3044870514877598,0.24673160170753855,129,RL,44,175
FL-5,Al Lawson Jr.,Democrat,5,R0.043320663219661694,0.101026787418148,0.3044870514877598,0.24673160170753855,49,RL,47,107
FL-6,Ron DeSantis,Republican,5,R0.043320663219661694,0.33747235560474476,0.3044870514877598,0.24673160170753855,343,RL,35,370
FL-7,Stephanie N. Murphy,Democrat,5,R0.043320663219661694,0.39638864959512243,0.3044870514877598,0.24673160170753855,382,RL,32,403
FL-8,Bill Posey,Republican,5,R0.043320663219661694,0.3753209698295839,0.3044870514877598,0.24673160170753855,371,RL,33,393
FL-9,Darren Soto,Democrat,5,R0.043320663219661694,0.46796412739119103,0.3044870514877598,0.24673160170753855,410,RL,29,418
FL-10,Val Butler Demings,Democrat,5,R0.043320663219661694,0.5060646889645586,0.3044870514877598,0.24673160170753855,419,RL,27,423
FL-11,Daniel Webster,Republican,5,R0.043320663219661694,0.3234719737884987,0.3044870514877598,0.24673160170753855,328,RL,36,358
FL-12,Gus M. Bilirakis,Republican,5,R0.043320663219661694,0.3143327749621823,0.3044870514877598,0.24673160170753855,318,RL,36,358
FL-13,Charlie Crist,Democrat,5,R0.043320663219661694,0.2826352372342227,0.3044870514877598,0.24673160170753855,293,RL,38,329
FL-14,Kathy Castor,Democrat,5,R0.043320663219661694,0.26069872468970146,0.3044870514877598,0.24673160170753855,262,RL,39,298
FL-15,Dennis A. Ross,Republican,5,R0.043320663219661694,0.2715762820852537,0.3044870514877598,0.24673160170753855,277,RL,38,329
FL-16,Vern Buchanan,Republican,5,R0.043320663219661694,0.4908532201757956,0.3044870514877598,0.24673160170753855,416,RL,27,423
FL-17,Thomas J. Rooney,Republican,5,R0.043320663219661694,0.4070517953754005,0.3044870514877598,0.24673160170753855,390,RL,32,403
FL-18,Brian J. Mast,Republican,5,R0.043320663219661694,0.4563589054675594,0.3044870514877598,0.24673160170753855,405,RL,29,418
FL-19,Francis Rooney,Republican,5,R0.043320663219661694,0.13898084032884428,0.3044870514877598,0.24673160170753855,87,RL,45,157
FL-20,Alcee L. Hastings,Democrat,5,R0.043320663219661694,0.20874528490889402,0.3044870514877598,0.24673160170753855,182,RL,42,221
FL-21,Lois Frankel,Democrat,5,R0.043320663219661694,0.25881723722744876,0.3044870514877598,0.24673160170753855,261,RL,39,298
FL-22,Theodore E. Deutch,Democrat,5,R0.043320663219661694,0.18446846889495874,0.3044870514877598,0.24673160170753855,148,RL,43,197
FL-23,Debbie Wasserman Schultz,Democrat,5,R0.043320663219661694,0.23943657721413805,0.3044870514877598,0.24673160170753855,237,RL,40,268
FL-24,Frederica S. Wilson,Democrat,5,R0.043320663219661694,0.3170548918831591,0.3044870514877598,0.24673160170753855,324,RL,36,358
FL-25,Mario Diaz-Balart,Republican,5,R0.043320663219661694,0.36214571985717775,0.3044870514877598,0.24673160170753855,358,RL,34,379
FL-26,Carlos Curbelo,Republican,5,R0.043320663219661694,0.08645908290601764,0.3044870514877598,0.24673160170753855,33,RL,48,88
FL-27,Ileana Ros-Lehtinen,Republican,5,R0.043320663219661694,0.21654385635039713,0.3044870514877598,0.24673160170753855,192,RL,41,239
GA-1,Earl L. "Buddy" Carter,Republican,6,R0.09597504254292812,0.22609726322493648,0.2716432239629874,0.24673160170753855,208,RL,44,175
GA-2,Sanford D. Bishop Jr.,Democrat,6,R0.09597504254292812,0.3230156126376252,0.2716432239629874,0.24673160170753855,327,RL,39,298
GA-3,A. Drew Ferguson IV,Republican,6,R0.09597504254292812,0.291014955080539,0.2716432239629874,0.24673160170753855,305,RL,40,268
GA-4,Henry C. "Hank" Johnson Jr.,Democrat,6,R0.09597504254292812,0.2833274456909214,0.2716432239629874,0.24673160170753855,294,RL,41,239
GA-5,John Lewis,Democrat,6,R0.09597504254292812,0.3811627277766291,0.2716432239629874,0.24673160170753855,375,RL,36,358
GA-6,Karen C. Handel,Republican,6,R0.09597504254292812,0.27871345204292647,0.2716432239629874,0.24673160170753855,286,RL,41,239
GA-7,Rob Woodall,Republican,6,R0.09597504254292812,0.2725422939669271,0.2716432239629874,0.24673160170753855,278,RL,41,239
GA-8,Austin Scott,Republican,6,R0.09597504254292812,0.16199547673005663,0.2716432239629874,0.24673160170753855,116,RL,47,107
GA-9,Doug Collins,Republican,6,R0.09597504254292812,0.3285300398846653,0.2716432239629874,0.24673160170753855,335,RL,39,298
GA-10,Jody B. Hice,Republican,6,R0.09597504254292812,0.2836035105220158,0.2716432239629874,0.24673160170753855,295,RL,41,239
GA-11,Barry Loudermilk,Republican,6,R0.09597504254292812,0.28520811295168663,0.2716432239629874,0.24673160170753855,297,RL,41,239
GA-12,Rick W. Allen,Republican,6,R0.09597504254292812,0.2066455543015181,0.2716432239629874,0.24673160170753855,179,RL,45,157
GA-13,David Scott,Democrat,6,R0.09597504254292812,0.16797493743828745,0.2716432239629874,0.24673160170753855,127,RL,47,107
GA-14,Tom Graves,Republican,6,R0.09597504254292812,0.31317375323308916,0.2716432239629874,0.24673160170753855,316,RL,39,298
HI-1,Colleen Hanabusa,Democrat,-2,R0.07388321709120134,0.28380737158549096,0.19172130186574385,0.24673160170753855,296,IP,40,268
HI-2,Tulsi Gabbard,Democrat,-2,R0.07388321709120134,0.09963523214599672,0.19172130186574385,0.24673160170753855,48,IP,49,72
IA-1,Rod Blum,Republican,2,R0.15793794994627205,0.29439968026673663,0.3976575729612156,0.24673160170753855,309,IA,43,197
IA-2,David Loebsack,Democrat,2,R0.15793794994627205,0.3457795544980132,0.3976575729612156,0.24673160170753855,350,IA,41,239
IA-3,David Young,Republican,2,R0.15793794994627205,0.48832425891620185,0.3976575729612156,0.24673160170753855,415,IA,34,379
IA-4,Steve King,Republican,2,R0.15793794994627205,0.4621267981639108,0.3976575729612156,0.24673160170753855,408,IA,35,370
ID-1,Raúl R. Labrador,Republican,2,R0.13665054163061888,0.19515920294104147,0.2677380425155865,0.24673160170753855,162,II,47,107
ID-2,Michael K. Simpson,Republican,2,R0.13665054163061888,0.3403168820901316,0.2677380425155865,0.24673160170753855,346,II,40,268
IL-1,Bobby L. Rush,Democrat,-4,R0.011204745340412737,0.1300654182035592,0.17196436388737796,0.24673160170753855,75,DL,44,175
IL-2,Robin L. Kelly,Democrat,-4,R0.011204745340412737,0.3678130800025255,0.17196436388737796,0.24673160170753855,364,DL,33,393
IL-3,Daniel Lipinski,Democrat,-4,R0.011204745340412737,0.17322408450855123,0.17196436388737796,0.24673160170753855,134,DL,42,221
IL-4,Luis V. Gutiérrez,Democrat,-4,R0.011204745340412737,0.056103861673006294,0.17196436388737796,0.24673160170753855,9,DL,48,88
IL-5,Mike Quigley,Democrat,-4,R0.011204745340412737,0.09672686776941426,0.17196436388737796,0.24673160170753855,45,DL,46,127
IL-6,Peter J. Roskam,Republican,-4,R0.011204745340412737,0.11213227781175816,0.17196436388737796,0.24673160170753855,59,DL,45,157
IL-7,Danny K. Davis,Democrat,-4,R0.011204745340412737,0.08471738147104783,0.17196436388737796,0.24673160170753855,30,DL,47,107
IL-8,Raja Krishnamoorthi,Democrat,-4,R0.011204745340412737,0.12715087282024762,0.17196436388737796,0.24673160170753855,72,DL,45,157
IL-9,Janice D. Schakowsky,Democrat,-4,R0.011204745340412737,0.14534065701964904,0.17196436388737796,0.24673160170753855,97,DL,44,175
IL-10,Bradley Scott Schneider,Democrat,-4,R0.011204745340412737,0.1909999081332126,0.17196436388737796,0.24673160170753855,154,DL,41,239
IL-11,Bill Foster,Democrat,-4,R0.011204745340412737,0.12591237529324315,0.17196436388737796,0.24673160170753855,69,DL,45,157
IL-12,Mike Bost,Republican,-4,R0.011204745340412737,0.24724451476577908,0.17196436388737796,0.24673160170753855,247,DL,39,298
IL-13,Rodney Davis,Republican,-4,R0.011204745340412737,0.192150257437628,0.17196436388737796,0.24673160170753855,158,DL,41,239
IL-14,Randy Hultgren,Republican,-4,R0.011204745340412737,0.1674912779612799,0.17196436388737796,0.24673160170753855,126,DL,43,197
IL-15,John Shimkus,Republican,-4,R0.011204745340412737,0.21581802713165366,0.17196436388737796,0.24673160170753855,191,DL,40,268
IL-16,Adam Kinzinger,Republican,-4,R0.011204745340412737,0.23583338876531942,0.17196436388737796,0.24673160170753855,231,DL,39,298
IL-17,Cheri Bustos,Democrat,-4,R0.011204745340412737,0.19493637482576087,0.17196436388737796,0.24673160170753855,161,DL,41,239
IL-18,Darin LaHood,Republican,-4,R0.011204745340412737,0.23169792437916706,0.17196436388737796,0.24673160170753855,220,DL,39,298
IN-1,Peter J. Visclosky,Democrat,5,R0.11754925096859237,0.4531085108437072,0.42190620513933724,0.24673160170753855,403,RB,33,393
IN-2,Jackie Walorski,Republican,5,R0.11754925096859237,0.47065340214075496,0.42190620513933724,0.24673160170753855,411,RB,32,403
IN-3,Jim Banks,Republican,5,R0.11754925096859237,0.5181258265344814,0.42190620513933724,0.24673160170753855,421,RB,30,415
IN-4,Todd Rokita,Republican,5,R0.11754925096859237,0.42532864792480374,0.42190620513933724,0.24673160170753855,395,RB,35,370
IN-5,Susan W. Brooks,Republican,5,R0.11754925096859237,0.3515407188871434,0.42190620513933724,0.24673160170753855,353,RB,38,329
IN-6,Luke Messer,Republican,5,R0.11754925096859237,0.4727202192021319,0.42190620513933724,0.24673160170753855,413,RB,32,403
IN-7,André Carson,Democrat,5,R0.11754925096859237,0.5219224308924048,0.42190620513933724,0.24673160170753855,422,RB,30,415
IN-8,Larry Bucshon,Republican,5,R0.11754925096859237,0.2211873000716185,0.42190620513933724,0.24673160170753855,197,RB,45,157
IN-9,Trey Hollingsworth,Republican,5,R0.11754925096859237,0.3625687897569894,0.42190620513933724,0.24673160170753855,360,RB,38,329
KS-1,Roger W. Marshall,Republican,4,R0.21181371216800493,0.4255054433190184,0.4100723148202289,0.24673160170753855,396,RL,40,268
KS-2,Lynn Jenkins,Republican,4,R0.21181371216800493,0.3511447591295553,0.4100723148202289,0.24673160170753855,352,RL,43,197
KS-3,Kevin Yoder,Republican,4,R0.21181371216800493,0.4590149503630663,0.4100723148202289,0.24673160170753855,407,RL,38,329
